Korean,English
리오스,Rios
규정이,Regulations
늘고,Increasing
사각,square
맞는것,Fits
버렸고,I abandoned it
마시던,Drinking
일상,daily
왼손으로,With left hand
아스트리드,Astrid
측면을,The side
살인마가,Murderer
봤고요,I saw it
도끼로,Ax
실망했어요,I was disappointed
모르겠,I don't know
애나벨,Anabelle
거창한,ambitious
버전,version
본국으로,Home country
드라마에,In the drama
우리중에,Of us
느껴서,From feeling
불편을,Inconvenience
아침도,Morning
있다는거지,There is
버리겠어,I'll throw it away
친구란,Friend
거룩히,Holy
일한다,working
새틴,Satin
진짜인,Real man
엘리트,elite
말래,Male
나와는,Outdated
호기심,curiosity
보석으로,In jewelry
리듬을,Rhythm
차단해,Block
안그런가,Is it not like that
내사,Within four
알았다는,Knowing
포함된,included
뭉쳐야,Must be united
되었단다,It was
사실과,Fact
찾았대,I found it
데니를,Denny
것만도,Even
한거라고,I said
첫사랑,first love
숨쉬기,Breathe
릭스비,Ricksby
친구에,Friend
요원이다,Agent
어디쯤,Somewhere
cia는,CIA
되돌아갈,Back
이쁘게,Pretty
트래비스가,Travis
오빠에게,To my brother
소속이야,I belong
두죠,Doo
레,Re
대학교에,At university
않을걸요,I will not
검사에,On the inspection
독약을,Poison
와플을,Waffle
접촉이,Contact
쉬자,Rest
부검,Autopsy
막아줄,Block
먹여주고,Feed
정도입니다,It is degree
모르시겠어요,I don't know
토레스랑,Torres
부름을,Call
그게요,That
집중하자,Let's concentrate
기증자,donor
드락,Drock
배우러,To learn
비정상적인,abnormal
못했소,I couldn't
데릭도,Derekdo
은근히,Quietly
보통이,Usually
오실래요,I want you to come
내려다,Overlook
소아,Infant
죽여주지,Kill
미안하네요,I'm sorry
펌프를,Pump
두달,Two months
버크와,Burke and
살인범은,The killer
버전의,Version
달아나는,Rushing
두번째는,second is
초에,In seconds
데려가기,Take
설계도를,Design
배우려고,To learn
주시해,Gain
엔들러,Endlerer
상하지,Hurt
범죄로,Crime
투자할,Invest
넷이,Four
부르는데,I call it
녹음한,Recorded
트롤이,Trolly
라이온씨,Mr. Lion
운전자는,The driver
타다히로,Tada Hiro
뿐이었다,It was only
기도하는,Prayer
헤어지면,When you break up
가셔야죠,You have to go
붓기가,Swelling
먹었을,I ate
한테서,from
뛰어야,I have to run
레지던트들이,Residency
포를,Foam
쳐다볼,Look
악당들,Villains
달갑지,Tidy
해놓은,Diligent
돌아가도록,To go back
마약과,Drug and
답례로,In return
cia를,CIA
환자에게서,In the patient
언제였지,When was it
미안요,Sorry
해주기,Do
손님도,Guest
아모,Amo
기쁨이,Joy
생,raw
어떡할까,What should I do
쫓지,Chasing
다음의,the next
가질거야,I will have it
운전도,Driving view
오웬의,Owen
대럴,Darel
덕분이지,Thanks
발음이,Pronunciation
모두가요,Everyone
살긴,Lived
하시나,Hayna
먹나,Eat
정전,blackout
부품이,Parts
외치는,crying
구해줬잖아,I saved it
엄마한테는,For mom
드레싱,dressing
단계야,Step
바퀴를,Wheel
연인을,Lovers
사람한텐,One person
화려하게,Gorgeously
사람들인데,People
가져가봐,Take it
오겠죠,I will come
크기로,In size
맞서야,Unlike
약자를,The abbreviation
소식이네,It's news
뜨개질,knitting
판단해,Judgment
그러고보니,Come to think of it
들어간다면,If you go in
조심하렴,Be careful
자유롭고,Free
놀래라,Surprise
돌볼게요,I'll take care of it
대비,prepare
일주일동안,for a week
비장,spleen
오빠야,Brother
맞았는데,It was right
리디아가,Lydia
개별,Individual
떨어져야,Must be away
쓰레기는,Garbage
그건가,That
물리학,Physics
혼자예요,You are alone
먹이감을,Feed
되었나,Is it
코도,Nose
발진이,Rash
신기하다,amazing
일생동안,Lifetime
시민을,Citizens
한병,One bottle
가구를,Furniture
다쳤고,I was injured
벤과,Ben and
잠깐동안,For a while
혼날,Blade
잘지냈어,how have you been doing
지나면서,Through
트로피를,Trophy
그럴거예요,I will
뜻일까요,Does it mean
절름발이,limp
나오네요,It comes out
끔찍히,Terribly
영혼들을,Souls
부브,Boob
맨션,mansion
배신자가,Betrayer
티그,Tag
해머,hammer
너라는,You
기다려서,Waiting
다쳐,Injured
지갑이,Wallet
느끼기,Feel
엉덩일,Ass
굴었어,I have
보모가,Nanny
앤드류가,Andrew
날린,Blown
비타민을,Vitamins
냉장고가,Refrigerator
안다니까,I know
하나쯤,One
밤늦게,Late at night
읽어보세요,try reading this please
앨범에,In the album
죽일꺼야,I'll kill you
해야하는데,I have to
갑작스런,snap
걸릴지도,Maybe it will take
갈테니까,I'll go
번키,Burnki
해봐야죠,I have to try it
장난이지,It's a joke
맞았다는,It was right
대한게,Crab
냄새로,In smell
떴을,I guess
기뻐서,glad
넣었지,I put it in
함께야,Together
헤르만,Hermann
뛰면서,Run
안심하세요,Rest assured
식모,maidservant
누구한테서,To anyone
헤헤,lol
마리는,Marie
어미가,Mother
앉자,Sit down
거품이,Bubble
슬론의,Slip
자막입니다,Subtitles
행사에서,At the event
집이니까,Because it's a house
지루할,Boring
공범,Accomplice
보여줬지,I showed you
그분께서,Him
시도가,Attempt
조이너,Joiner
거랑은,Geran
밴이,Van
이상이지,This is ideal
생생한,vivid
간단하고,Simple
새끼들을,Babies
친해,Friendly sea
모르겠는,Unknown
밀고자가,Push
드리자면,To give you
예술적,Artistic
필도,Phil
캐롤을,Carol
아는거지,I know
들려줘,See me
논의할,To discuss
사진들이,Photographs
무지하게,Ignorantly
만이라도,Even
신들과,The gods and
재닌,Nin
물건들은,Things
쟤네들이,They guys
투표할,Voted
봉수,Bongsu
쉽네,It's easy
확실하니,Is sure
청소하고,Clean
들이고,In
수행하는,Practiced
알렉스야,Alex
물러서라,Go back
찾아내기,Finding
나아가야,Going
남았군,Remained
일이라구요,It's work
단체로,Group
형이야,Brother
섹시하다고,Sexy
팔려,Sold
용감해,Brave
병가를,Sick
다한,All
해줬죠,I did it
일치해,Match
자기들끼리,Themselves
의욕이,Motivation
그사람들,Those
세대가,Generation
변호사들이,Lawyers
마셔야겠어,I have to drink
뱃지를,Badge
화산,volcano
온단,Wholedandan
변신이,Transformation
불합격,fail
나타납니다,Appears
당신답지,Yours
종교적,Religious
이겼네,I won
힘들어도,Even if it is hard
욕하는,Swearing
때리면,If you hit it
나갔나,Did you go out
인사가,Personnel
준비하도록,To prepare
심폐소생술,CPR
별명을,Nickname
이야기입니다,This is a story
웃지도,Even laugh
해피가,Happy
어네스트,Ernest
중이,drum
형제의,Brotherly
변해서,Changing
궁극의,Ultimate
대답만,Only answer
고결한,noble
에스미,Esmi
2009년,2009
정말인가,Is it really
컨디션이,Condition
필름이,Film
좋은아침,good morning
교체할,Replace
뭐랑,What with
슈퍼맨은,Superman
합니다만,I do it
차라도,Draf
누구한테요,To whom
끝났으니,It's over
헌신,dedication
레나이,Lenai
모이게,Gather
밝혀,Revealed
미쳐가고,Go crazy
가기도,Go
연습하는,Practice
중국이,China
상관없습니다,It doesn't matter
안나는,Unmatched
얻어야,Be obtained
말씀하지,I say
보자고요,Let's see
치러,To be
남성의,Male
위도,Latitude
노력에,Effort
퍼진,Spread
물질에,Substance
남았잖아,Remaining
환자지,Patient
없잖소,No
사물을,Things
드는군요,It's going to be
그자의,His
주변엔,Nearby
씨께서,Mr.
쿠엔틴,Quentin
찍혔어요,I was shot
찾아보겠습니다,Let's look for
속았지,I was deceived
여권을,Passport
고쳐줄,Fix
괜찮으시겠어요,You must be okay
들었겠지,I must have heard
중요한가요,Is it important
레이너,Rainer
까말,Creepy
오셨소,Come
안심하고,In peace
수술하게,Surgery
그렇게요,That way
그만요,Stop it
경제적,economical
들어오렴,Come in
가야겠군,I have to go
아니긴,No
숙청과,Submarine
된다면요,If it is
매형,Plus
그렇게들,So
깜짝할,Blinking
가라앉는,Sinking
접속을,Connection
손바닥을,Palm
서로한테,To each other
손댈,Touch
뒤늦게,behindhand
정당,party
조르조,Georges
오초아,Ochoa
깁스가,Gibbs
붙였어,I attached
설명도,Explanation
감정적,Emotional
40초,40 seconds
셰익스피어의,Shakespearian
보여주자고,Let me show you
손해를,Damage
아프다는,Hurt
흥미로워,Interesting
집어넣을,Insert
머리나,Head
숫자에,On the number
음악이야,Music
온다더니,I came
상황이라고,Situation
상관없잖아요,It doesn't matter
넣어주세요,Please put it in
슬퍼요,I'm so sad
좋아야,It's good
깨끗합니다,Clean
나는요,I am
피터의,Peter
감추는,Hidden
연달아,In a row
타겟은,Target
같겠지,It must be the same
사과가,Apple
뒤통수,Back
다니죠,I go
결혼하자,let's get married
출현,emergence
미셸이,Michelle
인상적이야,Impressive
잃어버리고,Lost
동감이에요,I agree
뇌수술을,Brain surgery
패스를,Pass
2003년,2003
걸린다고,I get caught
긴장감이,Tension
바라야지,Hope
대사관에서,At the embassy
제2,Second
발표했습니다,I announced
계속됩니다,Continues
모르겠나,I don't know
구워,Bake
펠리시,Pelici
돌린,turned
귀여워라,Cute
로비가,Lobby
교통사고로,In a traffic accident
구역이야,It's a zone
연을,Kite
오빠와,Oppa
추측,guess
예상하고,Expect
주셔야죠,You have to give
있나니,Is there
훌륭하지,It's great
놈이잖아,You're guy
적절치,Appropriation
자국도,Mark
넘어가서,Overwhelmed
빛나게,Shining
끊으면,If you quit
굉장하지,It's not great
내렸지,I got off
당연해요,Of course
병력은,The troops
차세대,next generation
받을게요,I'll receive it
해치진,Hatchjin
맡으면,If you take it
칠면조가,Turkey
500달러,$ 500
하인이,Servant
댁들,Households
흔치,Stagnation
가라앉을,Sinking
걸렸지만,I got caught
성기,genitalia
어설픈,Flimsy
가호를,Gara
파라,blue
경험상,Experience
게이야,Kaya
부스는,Booth
그럴걸요,I will
장하다,Enclose
리콜레티,Recall
풀어주지,Solve it
몰라야,I don't know
라인을,Line
쫓아서,Chased
주방을,Kitchen
자입니다,I am
허락없이,Without permission
팜,Palm
색으로,In color
프랑스가,French
정확하지,Not accurate
가리키는,indicated
믿니,Believing
즐거워요,It's fun
집어치워요,Pick up
플래그,flag
받았대,I received it
가져왔나,Have you brought
근무하는,Working
제거하려고,To remove
고려할,Consider
줬네,I gave you
선생한테,To the teacher
기부를,Donation
일본인,Japanese
놈인지,Nominee
눈알,eyeball
함께하면,Together
다왔어,Come
반하는,inimical
라스트,last
늦었죠,It's late
바라면,If you wish
잘못됐다고,It's wrong
배고파서,Hungry
멀리는,Far
되있어,Is it
도망가서,Run away
펠킨스씨,Pellins
인내심이,Patience
마취과,Anesthesia
유진이,Eugene
워커가,Walker
만들어주는,Made
말로만,Only in words
지켰어,Keep
더욱이,Furthermore
오베린,Oberin
노아의,Noah
옥새를,Birds
외교적,Diplomatic
않은거지,Unbelting
왔다구요,I'm here
사원,employee
강요,coercion
우리한테도,To us too
핵폭탄,nuclear bomb
훔치러,To steal
즐거웠습니다,Enjoyed
이동을,Move
처방전을,Prescription
공항이,Airport
몰랐거든,I didn't know
장전해,Loading
안보고,Not report
찾아보면,If you look for
괜찮다구,It's okay
라이브로,Livero
상관없죠,It doesn't matter
따라가고,Follow
캡,cap
코너스,Corner
보수,repair
보았고,I saw it
걱정이나,Worrying
웹사이트를,Website
폐하가,Majesty
너에게서,From you
이식은,Transplantation
야인,Night
외부의,External
독극물,Poison
병사는,Soldier
가오,Gao
남기면,Leftover
어두워지기,Darkness
여자애야,A girl
주려고요,To give it
비결이,The secret
어땠죠,How was it
꺼냈어요,I took it out
배워서,Learned
라니스터는,Lannister
때문일지도,Maybe because of
하군요,Hey
안되나,Can't
어째서죠,Why are you
접선,tangent
용돈,Pin money
관계야,Relationship
작동하고,Working
어머님께,Mother
말없이,Silently
좋으신,Good
줄이기,cut down
강하다,strong
모욕감을,Insulting
모르겠니,I don't know
밀리,milli-
바꿔봐,Change
마음에서,In the heart
상위,difference
간단합니다,Simple
좋은건,Good thing
베,hemp cloth
않았길,I hope
반기를,Rebellion
앉아있어요,Sit
가지곤,Go
가능하다는,That it is possible
치게,Chire
보라니까,Look at it
무전을,Radio
기소할,To prosecute
발생하지,Not occurred
맥과이어,McGuire
이모티콘,emoticon
말하든,Whatever you say
되지요,Not
슈미트,Schmidt
잘자라,Good night
물러나라,Retreat
면허,license
살았고,Lived
탑에,On the tower
때마침,timely
자료는,The data
1942년,1942
퓨리가,Puriga
불행을,Unfortunate
정렬,Sort
들것,stretcher
적대적인,Hostile
수술이나,Surgery or
9년,9 years
추자,Chu
모시겠습니다,I will serve you
연습도,Practice
안에만,Only inside
보는걸,Seeing
약속드립니다,I promise
들렸다,I was heard
덴버,Denver
얼씨구,Earl
행복에,Happiness
적이다,Be enemies
죽이려면,To kill
일했는데,I worked
네놈을,You guys
결백해요,I am innocent
모르겠다는,I don't know
모리아티는,Moriarty
두명은,Two people
질병에,In the disease
반장,Class monitor
비용도,Cost
서연을,Seoyeon
놈이군,You're
레이의,Ray
그인,That person
4명을,4 people
땅과,Land
일보다,More than work
익명,anonymous
불난,Inconvenient
형님은,Brother
시동이,Starting
조케꾼,Zoke
주인님을,Master
알거에요,I know
아버지라고,Father
경찰이나,Police or
보냅니다,send
매독,syphilis
위협하고,Threatening
미래야,Future
믿나요,Believe it
요원이에요,I'm an agent
결정해요,I decide
빅터가,Victor
반대편에서,On the other side
안전과,Safety department
28일,28 days
낮잠을,Nap
내려가지,Descend
카프,Cap
ct는,CT
흉악한,Wicked
괜찮겠네,It must be okay
않더라고,I didn't
아니타,Anita
기회지,Opportunity
부인하고,Dismissed
보라는,Purple
비카,Vica
희망과,Hope and
싫어하는거,I hate it
만난다고,Meeting
한카,Hanka
안정됐어요,Stable
바꾸라고,Change
각하께서,Sir
석션해,Suction
물벼룩,water flea
잡아먹을,Eat
못생겼어,Ugly
얘기해줘요,Tell me
주인에게,To the owner
레드비어드,Red Beard
남자애들이,Boys
아이스크림이,Ice cream
남학생,boy
핸드볼,handball
사실인지,Fact
맞구나,That's right
이혼할,Divorce
찍혀,Stamped
발레리,Ballerie
자석,magnet
차례로,in turn
열은,Heat
어지간히,Quite
바티칸,Vatican
지난달,last month
아빠한테는,To my dad
이바르,Ivar
스틸워터,Steelwater
가비리아는,Gabyria
기자회견을,Press conference
6개월을,6 months
자궁을,The uterus
제니가,Jeniga
거절한,Refused
깨울,Wake
하나뿐이야,Only one
꺼라고,Turn it off
타이어가,Tire
우리로,As
요크,York
사이크스,Cypress
명심해요,Keep in mind
어떡하니,What should I do
지원하는,Supporting
조여,Tightening
죽을까,Should I die
일어나도,Even if it happens
비비안,Vivian
중요할,Important
인슐린,insulin
베가스에서,In Vegas
위험하잖아,It's dangerous
치려고,To be hit
치타,Cheetah
비롯한,Including
판단에,Judgment
준비할게요,I'll prepare
세웠어,I set up
영광은,Glory
서자,Scribe
부두에서,At the dock
일당,charge per day
터지기,Bursting
지져스,Jiggers
껍질을,Shell
날아가서,Flew
컨설트,Consulting
작가의,Writer
상수,a constant
불과합니다,Only
사랑했다,I loved
일하나,Working
최면을,Hypnosis
농담에,Joke
알았겠죠,I knew it
내버려두면,If you leave it alone
원한대,Grant
삽입,insertion
지능을,Intelligence
심고,Planting
음주운전,Drunk Driving
무슨일인데,What happens
사라져요,It disappears
부정하지,No denial
카라를,Kara
죽나요,Do you die
위쪽으로,Upward
소음,noise
떼요,Off
일대일로,One -on -one
허락이,Permission
보냈네,I sent it
태우지,Burning
크레덴스,Credence
차안에,In the car
먼지를,Dust
사령관이,Commander
루이즈,Ruiz
후장,Assistant
검토해,Review
레딩턴이,Readington
택시에,In a taxi
장례식이,Funeral
자리잡고,Settlement
곳이네요,It's a place
뭉쳐서,United
고관절,Hip
강간범,Rapist
혈종이,Hematopoemia
진심이었어,I was serious
인간이에요,Human
허리를,Waist
우스운,laughable
알린,Alline
댁에서,At home
준거,Gap
대공,grandee
르푸,Lefu
랑데부,rendezvous
외상성,Trauma
말까지,By the end
따라다녀,Follow -up
바닥까지,To the floor
친척이,Relative
똥이나,Shit
잎이,Leaf
집중하면,If you concentrate
바라봐,Look at
다이아,Diamond
리얼리티,Reality
외곽에서,Outslect
그러자고,Then
볼수가,I can see
걸렸나,Did you get caught
미성년자,minor
길이가,Length
욕구가,Desire
영원토록,Forever
입었습니다,I wore it
튜브가,Tube
감추려고,To hide
푸세요,Solve it
이교도,pagan
커질,Bigger
향이,Scent
모였어,Gathered
전이,transition
근무가,Workman
초대할,Invite
둥지,nest
넣으려고,To put
왠일이야,Somehow
한물,Water
시작했잖아,You started
머핀,muffin
감염됐어,Infected
스트라이커,Striker
시각을,Simple
놀랐죠,I was surprised
수평,horizontality
승리할,Victory
멋있어요,it's awesome
이따봐,See you later
캐롤은,Carol is
구조대가,Rescue team
기지는,Base
보이드가,Boyd
어린시절,Childhood
캐롤린,Caroline
메뉴를,Menu
진지해요,Seriously
있을때까지,Until there
빨래를,Laundry
감동을,Impression
가야합니다,You have to go
가봐야지,I have to go
입자가,Particles
마르티네즈,Martinez
가르쳐줬어요,I taught me
주위의,Surrounding
사는걸,Living
자유롭지,Free
노트,note
곡에,In the song
문의,inquiry
12분,12 minutes
차린,Stuck
천국은,Heavenly
감옥은,Prison
1분도,1 minute
전세계에서,Worldwide
밖에서도,Outside
수트가,Suit
속에선,Inside
찰스를,Charles
것이지만,Alive
그렇다면야,If so
활발한,active
허블,Hubble
들어갔지,I went in
어떻겠어요,What should I do
헤어지지,Breakup
구절을,Passion
단도직입적으로,Dagger
방사선을,Radiation
시장으로,In the market
봐주셔서,Look at it
팔과,Arms
사람이든,Whether it's a person
악마같은,Devilish
기준으로,Based
튀김,fried food
아놀드가,Arnold
관절,joint
맡죠,In charge
다치기,Hurt
있으리라,Will be
의향이,Intention
여기까지야,So far
응답을,Response
학교에선,At school
답할,To answer
수술이야,Surgery
꺼졌어요,It turned off
공연할,Perform
일어났네,Wake up
목소리만,Voice only
연락하려고,To contact
일했고,Worked
오래도,Long
희생,sacrifice
어중간한,Uh medium
정말야,Really
감동적인,Impressive
이유다,Reason
썼는지,I wrote it
위성으로,Satellite
싱,Sing
폭발물,explosive
옮기자,Let's move
돌아오세요,Come back
팀원들을,Team members
배고프면,If hungry
목말라,Thirsty
녹음을,Recording
초대에,At the invitation
찾다가,Looking for
개념이,Concept
때다,Get
모자도,Hat
병원비,Hospital expenses
알겠구나,Okay
않는다구,Not
공기는,Air
엉덩이도,Hip too
놀라는,Surprised
중이네,You are
지내죠,I'm staying
디자인을,Design
레슨,lesson
이규원,Lee Kyu -won
안가는,Unmatched
시작되기,Starting
스트리퍼,Stripper
몇년전에,few years ago
선택하게,Choice
놈하고,With
바보였어,I was stupid
일에만,Only work
만났네,I met
팀원,Team members
속하지,Belonging
진이,Jinyi
근무는,Working
안해봤어,I haven't tried it
전장에,On the battlefield
승조원들이,The crew members
침착하고,Calm
자물쇠,Lock
남았고,Remaining
치뤄야,It must be done
생각으론,I think
방위,defense
잡아줄,Grab
월급은,The salary
베를린으로,Berlin
남편분을,Husband
수련,training
들어있어요,It contains
우리까지,To us
약혼자는,The fiancé
시도라도,Even
요소를,Element
영광이네요,It's an honor
않고서는,Without
스틸린스키,Steelninski
조시,josh
얼려,Freezing
주스를,Juice
얼간이야,It's a little
생겼군,It looks like
옮기면,If you move
만들까,Make it
문학,literature
공격받고,Attacked
폭발한,Exploded
그거는,That
닫은,closed
알기에,I know
담당하는,In charge
테디랑,Teddy
말해주길,Tell me
돌파,breakthrough
분이네요,Bun
딴데,Different
사무실입니다,This is an office
참이에요,It's true
꺼내면,If you take it out
호스트를,Host
노래해요,Singing
네게서,On you
좆같이,Fucked
납치를,Kidnapping
누이가,Sister
없을거요,There will be no
배웠습니다,I learned
참가,attend
캐고,Dagger
리스트가,List
변명이,Excuses
90초,90 seconds
끝인,End
약점,Weakness
거미줄,Spider web
수잔은,Susan
브래든,Bradden
창자,bowels
있던게,What was there
치른,Well -received
잡혀서,Caught
가져오세요,Bring
마셔봐,Drink
오두막을,Hut
맡는다,In charge
몰랐거든요,I didn't know
이런데,Like this
대해서만,Only
긴장하고,Nervous
죽었거든,Die
자랑할,Proud
별로네요,Not good
깁스를,Gibbs
사건이라고,Incident
올라오면,When it comes up
전역에서,All over
임신했다고,I was pregnant
가두는,Stiff
시민들에게,To the citizens
두분은,The two
여왕에게,To the queen
바라보며,Looking at
죽지도,Dying
계시오,Revelation
항구로,Port
싫어하는지,I hate it
탈을,Mask
젖이,Breast
똑같습니다,The same
꼬맹이들,Kids
쟤넨,쟤넨
곳이네,It's a place
짝짓기,Mating
20일,20 days
무당이,Shaman
확인할게,I'll check
작업한,Worked
김준식,Kim Jun -sik
외국에서,In foreign countries
기차로,By train
로드리게즈,Rodriguez
맨티스,Mantis
수프를,Soup
무전기를,Radio
지랄맞은,Boring
약혼한,Engaged
진실과,Truth and
색깔을,Color
아내인,Wives
놀리고,Teasing
낸다,Put it
공중에서,In the air
세워봐,Stand up
타라가,Taraga
상상력을,Imagination
키스가,Kiss
메모가,Notes
어디갔어요,Where did you go
빵집,bakery
블라인드,blind
그레이랑,Gray
꼬꼬마,Kid
패트릭이,Patrick
이자리에,In this position
시간씩,Time
조앤은,Joan
땡땡이,Ding
밀어서,Push
바쁘니까,I'm busy
앤데,Andne
사람이거든,I am a person
클리닉에서,In the clinic
얘기네,Talking yes
저한테서,From me
캐스팅,casting
프롬,Prom
부탁해도,Even if you ask
믿을게,I'll believe it
장갑이,Gloves
항구를,Port
비욘세,Beyonce
모퉁이,corner
웨섹스의,Wesex
제2의,Second
뭘해야,What to do
필요로하는,Needed
정자,sperm
수건을,Towel
총격전,Shooter
쐈다고,Shooting
태너,Tanner
천장이,Ceiling
몰랐는데요,I didn't know
3백만,3 million
믿어선,Believing
포르노를,Porn
나오질,Out
벌어야,You must earn
말해볼까,Let's say
에어컨,air conditioner
동물이랑,With animals
통과한,Passed
안대,eye patch
이모를,Aunt
지원군이,Required forces
데만,Deman
끝장낼,Ending
앞에서도,Before
로키는,Loki
대답하면,If you answer
커플은,The couple
생각하셨어요,You thought
뱀의,Snake
이뤄진,Accomplished
가시나요,Are you going
뒤가,Back
의지,will
않았다구,Not
고민하는,Troubled
도로로,Road
보는구나,You see
못하겠네,I can't
먹은거야,I ate it
여성입니다,I am a woman
전화줘,Call me
현상은,The phenomenon
말하겠지,I will say
가야하는데,I have to go
이야기들을,Story
어둠속에서,In the dark
씻는,Washed
꾸게,Crushed
매듭을,Knot
수원댁,Suwon house
주식회사,Corporation
기대해도,Even if you expect
말이고,Word
해커가,Hacker
으-흠,Uh- Hmm
말아줘요,Please roll
생각해보죠,Think about it
이론에,In the theory
성환댁,Seonghwan House
준비하러,To prepare
멈췄고,Stopped
세균,Germ
부탁이다,Ask
고추를,Red pepper
보내는게,Send
1초,1 second
힘들다고,It's hard
정을,Tablet
화나서,In anger
유용하게,Usefully
드릴게,I'll give you
비밀이에요,It's a secret
말씀도,Words
앨트먼,Altman
헬기는,Helicopter
서두르라고,Raise
한곳에,In one place
카스타뇨,Castano
시체들은,The bodies
서두르면,If you hurry up
자비에,Mercy
버틀,Butt
탄생을,Birth
제수씨,Susoo
살해됐어요,I was killed
알아선,Noticed
아라이,Arai
얼마인지,How much
칸은,Khan
사지가,Limb
오래간만에,In a long while
저랑은,With me
설계도,blueprint
법사님,Wizard
뱉어,Spit
기분에,In mood
안단,Anxiety
어릴적,Childhood
헬기로,By helicopter
다르단,Dardan
단어에,In the word
사냥꾼들이,Hunters
하나인,One
들러리가,Bridesmaids
헬프만,Helpman
할건가,Are you going to do it
여왕이야,Queen
돌봐줘야,I have to take care of
살인과,Murder
흥분이,Excitement
작품이야,It's a work
잘해줬어,I did well
허공에,In the air
줬는지,I gave it
알아봤는데,I found out
아셔,Know
킹스,Kings
코코아,cocoa
뜬다,Floating
비스킷,biscuit
조종해,Control
애디슨은,Adison
활주로,airstrip
있는걸요,Is there
콘래드,Conrad
어디가는,Somewhere
빨려,Sucked
7시까지,By 7 o'clock
오는거,Come
걸게요,I'll go
문제고,Problem
스나이더,Snyder
참된,real
준비되었습니다,Prepared
상어가,Shark
수고하셨어요,Thanks for your efforts
만들어지는,Made
코트에,On the coat
종족이,Races
고든을,Gordon
심하다,Severe
상태죠,Status
물어본다면,If you ask
화난게,Angry
노인네,Old man
간섭,Interference
옛날에는,A long time ago
이야기죠,It's a story
힘들겠어,It will be hard
모르핀을,Morphine
못할거라고,I can't do it
할렘을,Harlem
치킨을,Chicken
한마리가,One
한놈,One
라떼,Latte
형수,Sister-in-law
못봤는데,I haven't seen it
자매들은,Sisters
자신보다,More
떠나도록,To leave
선수의,Player
얘기인데,It's a story
불법으로,Illegally
인간처럼,Like human
일하길,Work
5천만,50 million
아시고,I know
모로,Moro
청혼,proposal of marriage
말인즉슨,In other words
안하는게,Not doing
식사가,Dinner
핀은,The pin is
끊긴,Broken
어렸고,Young
때려치우고,Hit it
알루미늄,aluminum
욕실에서,In the bathroom
다스,dozen
머라이어,Mariah
앙어만,Bayermann
불확실한,uncertain
내려오지,Come down
강도는,Robbery
여기라고,To say
뭐게,What
하나님과,With God
카리요,Kariyo
하실까요,Would you like to do it
똑같죠,The same
돌아가셨을,You must have died
쓸어버릴,Sweep
생각한다는,Think
취약한,Vulnerable
소개하죠,Let me introduce you
선율,melody
다했다고,I have done it
백성들에게,To the people
여자다,Be a woman
탔다,burnt
들은거야,I heard it
모텔에,In the motel
찔려,Stabbed
믿어주지,Believe it
2주전에,2 weeks ago
떨어뜨릴,Drop
괜찮아졌어요,It's okay
있었다니까,There was
쉽지만은,Easy but
없었으니까요,Because there was no
않을꺼에요,I won't be
학대,abuse
원하지만,I want it
로그인,log in
소피가,Sophiega
의리,loyalty
이메일에,In email
도와줘야지,I have to help
상자에서,In the box
믿으셔도,Even if you believe
미켈란젤로,Michelangelo
남성이,Male
믿음직한,Reliable
첩자가,The spy
서세이는,Seosei
옷장을,The closet
콩은,Soybeans
별로네,Not good
바꾸게,Change
가로지르는,Crossing
뒷마당에서,In the backyard
포기해야,Give up
에이프릴은,April
살인자의,Murderous
않은거,Not
죽었겠죠,I must have been dead
블록을,Block
얻어낸,Obtained
싶어했어요,I wanted to
필이랑,Phil and
일정한,certain
꼬마의,Little
실종됐어,Missing
틀어봐,Turn it off
꼭꼭,Must
1장,1 page
삼룡이,Samryong
필리핀,Philippines
해볼께,I'll try it
200만,2 million
마트에서,At the mart
너냐,You
조깅,jogging
타이렐이,Tylel
반가웠다,Nice to meet you
프로덕션,Production
여지,space
묘지에,In the cemetery
잡수세요,Bee
혈통을,Line
신이야,God
애나는,Anna
토레스의,Torres
필요하실,Needed
베일리와,Bailey and
살인이라고,Murder
뻔했는데,It was obvious
하이힐,high heel
용품,Supplies
통과하면,When passed
쎄게,Tightly
장담컨데,I guarantee
서약,pledge
당기지,Gambling
문과,Literature
거리지,Distance
관객은,The audience
다운스,Downs
관둬요,Stopping
2주동안,2 weeks
고용하지,Not hired
된것,Being
심실세동이야,It's a ventricles
신처럼,Like God
찾나,Find
한순간에,In a moment
로즈는,Rose
카페에,To the cafe
뿐이라는,Just
로봇을,Robot
있을거니까,Because there will be
킹스랜딩을,Kings Landing
조심하십시오,Be careful
싶긴,Wanting
에서는,In
메달,medal
체텀,Chem
맡았는데,I was in charge
대단하군요,It's amazing
돌아가셨다고,I died
날이니까,Because it is a day
파키스탄에,In Pakistan
판결,verdict
연결됐습니다,Connected
그정도,That
어썸,awesome
니말이,Your horse
번에는,On the number
실행할,To run
부순,Cruise
아이만,Children only
주말까지,Until the weekend
어머님을,Mother
어땠나,How was it
왜이리,Why
찌질한,Bold
겪지,Not experienced
경비는,Expenses
존재죠,It is
할걸세,I'll do it
했던것,What I did
다름이,Different
위에선,Above
살아남았어요,I survived
쉽잖아,It's easy
만나도,Even if you meet
이틀간,For two days
오염된,Contaminated
서비스는,Service
훌리오,Hoolio
몬스터가,Monster
쓰지만,I write it
글씨가,Font
서쪽에서,West
